backtest_date,model,series_index,series_name,window,base_date,retrained,forecast_start,forecast_end,mape,ape,actual_values,forecast_values,model_hyperparameters
20250322_1741,AutoARIMA,243,series_00250,2,2018-12-01,True,2019-01-01,2019-03-01,0.212095,[0.27521  0.1513   0.209773],"[697.3199462890625, 606.7904663085938, 663.8031005859375]","[505.4102757238152, 514.9827806637587, 524.5552856037023]","{'season_length': 12, 'start_p': 1, 'start_q': 1, 'stepwise': True, 'max_order': 20, 'seasonal': True}"
20250322_1741,AutoARIMA,243,series_00250,3,2019-01-01,True,2019-02-01,2019-04-01,0.172814,[0.205013 0.198304 0.115125],"[606.7904663085938, 663.8031005859375, 566.6216430664062]","[482.390619818304, 532.16795959127, 501.3891351563162]","{'season_length': 12, 'start_p': 1, 'start_q': 1, 'stepwise': True, 'max_order': 20, 'seasonal': True}"
20250322_1741,AutoARIMA,243,series_00250,4,2019-02-01,True,2019-03-01,2019-05-01,0.177055,[0.137931 0.04669  0.346543],"[663.8031005859375, 566.6216430664062, 814.87353515625]","[572.2442428423847, 540.1658249431024, 532.4848542058265]","{'season_length': 12, 'start_p': 1, 'start_q': 1, 'stepwise': True, 'max_order': 20, 'seasonal': True}"
20250322_1741,AutoARIMA,243,series_00250,5,2019-03-01,True,2019-04-01,2019-06-01,0.17382,[0.019213 0.327722 0.174525],"[566.6216430664062, 814.87353515625, 701.6156616210938]","[555.7350028727546, 547.8213646339449, 579.1658729944039]","{'season_length': 12, 'start_p': 1, 'start_q': 1, 'stepwise': True, 'max_order': 20, 'seasonal': True}"
20250322_1741,ExponentialSmoothing,13,series_00049,0,2018-10-01,True,2018-11-01,2019-01-01,0.689966,[0.471392 1.093183 0.505324],"[447.9205627441406, 330.6086730957031, 481.6119079589844]","[659.0665177320495, 692.0243189777419, 724.9821202234343]",{'season_length': 12}
20250322_1741,ExponentialSmoothing,13,series_00049,1,2018-11-01,True,2018-12-01,2019-02-01,0.119528,[0.043961 0.295268 0.019354],"[330.6086730957031, 481.6119079589844, 369.89874267578125]","[316.074931055829, 339.40732501064895, 362.7397189654689]",{'season_length': 12}
20250322_1741,ExponentialSmoothing,13,series_00049,2,2018-12-01,True,2019-01-01,2019-03-01,0.15912,[0.155644 0.104708 0.217008],"[481.6119079589844, 369.89874267578125, 524.2074584960938]","[406.6519763666378, 408.6302344301426, 410.45029778688405]",{'season_length': 12}
20250322_1741,ExponentialSmoothing,13,series_00049,3,2019-01-01,True,2019-02-01,2019-04-01,0.241413,[0.016559 0.303322 0.404358],"[369.89874267578125, 524.2074584960938, 615.3228759765625]","[363.77342611923797, 365.20371457437506, 366.51227830978706]",{'season_length': 12}
20250322_1741,ExponentialSmoothing,13,series_00049,4,2019-02-01,True,2019-03-01,2019-05-01,0.179196,[0.169516 0.290217 0.077854],"[524.2074584960938, 615.3228759765625, 475.0140380859375]","[435.34615374745897, 436.74550799871463, 438.0321124806742]",{'season_length': 12}
20250322_1741,ExponentialSmoothing,13,series_00049,5,2019-03-01,True,2019-04-01,2019-06-01,0.235792,[0.352185 0.158701 0.19649 ],"[615.3228759765625, 475.0140380859375, 498.5135803222656]","[398.6153077458703, 399.62892940557845, 400.56053296109036]",{'season_length': 12}
20250322_1741,ExponentialSmoothing,30,series_00132,0,2018-10-01,True,2018-11-01,2019-01-01,0.528618,[0.381779 0.804184 0.399891],"[339.1639404296875, 260.0031433105469, 335.3724365234375]","[468.6495987245455, 469.09357438117894, 469.48501473679767]",{'season_length': 12}
20250322_1741,ExponentialSmoothing,30,series_00132,1,2018-11-01,True,2018-12-01,2019-02-01,0.134789,[0.190561 0.076872 0.136936],"[260.0031433105469, 335.3724365234375, 358.7554931640625]","[309.5495713801524, 309.59185061570525, 309.6289528280618]",{'season_length': 12}
20250322_1741,ExponentialSmoothing,30,series_00132,2,2018-12-01,True,2019-01-01,2019-03-01,0.171993,[0.029237 0.091796 0.394945],"[335.3724365234375, 358.7554931640625, 538.8729248046875]","[325.56727816341885, 325.8232176165044, 326.04755222048135]",{'season_length': 12}
20250322_1741,ExponentialSmoothing,30,series_00132,3,2019-01-01,True,2019-02-01,2019-04-01,0.303825,[0.183839 0.456675 0.270961],"[358.7554931640625, 538.8729248046875, 401.58026123046875]","[292.80234175536214, 292.7830033059011, 292.76753098908654]",{'season_length': 12}
